ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment
10944,B157,B004,Gathering,B004-2,,gayton1948a;gayton1948b;gifford1932b,,1870,Binford_2001_Table_5.01,
10945,B158,B004,Gathering,B004-2,,barrett1908;gifford1926b;loeb1926b,,1860,Binford_2001_Table_5.01,
10946,B159,B004,Gathering,B004-2,,cook1956;gifford1926a,,1860,Binford_2001_Table_5.01,
10947,B16,B004,Gathering,B004-2,,bernatzik1951;flatz1963;nimmanahaemindaandhartlandswam1962;pookajorn1985;pookajorn1988;trier1981;velder1963,,1963,Binford_2001_Table_5.01,
10948,B160,B004,Fishing (aquatic),B004-3,,barrett1908;cookandheizer1965;dubois1935,,1860,Binford_2001_Table_5.01,
10949,B161,B004,Fishing (aquatic),B004-3,,cookandheizer1965,,1860,Binford_2001_Table_5.01,
10950,B162,B004,Fishing (aquatic),B004-3,,dixon1910,,1860,Binford_2001_Table_5.01,
10951,B163,B004,Gathering,B004-2,,cookandheizer1965;faye1923;kroeber1929;wilsonandtowne1978,,1850,Binford_2001_Table_5.01,
10952,B164,B004,Gathering,B004-2,,gifford1926b,,1805,Binford_2001_Table_5.01,
10953,B165,B004,Gathering,B004-2,,barrett1908;cook1956,,1860,Binford_2001_Table_5.01,
10954,B166,B004,Fishing (aquatic),B004-3,,cook1956;goddard1923;nomland1935,,1860,Binford_2001_Table_5.01,
10955,B167,B004,Gathering,B004-2,,,,,Binford_2001_Table_5.01,
10956,B168,B004,Fishing (aquatic),B004-3,,collierandthalman1991,,1850,Binford_2001_Table_5.01,
10957,B169,B004,Fishing (aquatic),B004-3,,cook1956;nomland1938,,,Binford_2001_Table_5.01,
10958,B17,B004,Gathering,B004-2,,gardner1965;gardner1972;gardner1988,,1963,Binford_2001_Table_5.01,
10959,B170,B004,Gathering,B004-2,,cook1955,,,Binford_2001_Table_5.01,
10960,B171,B004,Gathering,B004-2,,cook1956;foster1944;gifford1926b,,1850,Binford_2001_Table_5.01,
10961,B172,B004,Gathering,B004-2,,barrett1908;cook1956;cookandheizer1965;driver1936,,1860,Binford_2001_Table_5.01,
10962,B173,B004,Gathering,B004-2,,barrett1908;cook1956;gifford1926b;loeb1926b,,1860,Binford_2001_Table_5.01,
10963,B174,B004,Gathering,B004-2,,gifford1926b;waterman1918,,1860,Binford_2001_Table_5.01,
10964,B175,B004,Gathering,B004-2,,barrett1908;barrettandgifford1933;cook1955;cookandheizer1965;gifford1916;gifford1926b,,1850,Binford_2001_Table_5.01,
10965,B176,B004,Fishing (aquatic),B004-3,,gray1987,,1860,Binford_2001_Table_5.01,
10966,B177,B004,Fishing (aquatic),B004-3,,gifford1939;miller1978,,1860,Binford_2001_Table_5.01,
10967,B178,B004,Fishing (aquatic),B004-3,,cook1956;drucker1940,,1870,Binford_2001_Table_5.01,
10968,B179,B004,Gathering,B004-2,,cookandheizer1965;dixon1907,,1860,Binford_2001_Table_5.01,
10969,B18,B004,Gathering,B004-2,,senandsen1955;williams1974,,1963,Binford_2001_Table_5.01,
